"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 15 10:01:59 GMT 2024","Sun Dec 15 10:02:01 GMT 2024","2191","Register page tests","","","","","should register successfully",""
"passed","Sun Dec 15 10:02:05 GMT 2024","Sun Dec 15 10:02:05 GMT 2024","605","Login page tests is isolation","","","","","should fail to login",""
"passed","Sun Dec 15 10:01:52 GMT 2024","Sun Dec 15 10:01:52 GMT 2024","243","Home page tests","","","","","should open add more page",""
"passed","Sun Dec 15 10:01:45 GMT 2024","Sun Dec 15 10:01:47 GMT 2024","2156","Edit page tests","","","","","should correctly autocomplete users data",""
"passed","Sun Dec 15 10:01:54 GMT 2024","Sun Dec 15 10:01:56 GMT 2024","1605","Login page tests","","","","","should login successfully",""
"passed","Sun Dec 15 10:01:51 GMT 2024","Sun Dec 15 10:01:51 GMT 2024","769","Home page tests","","","","","should display at least one user",""
"passed","Sun Dec 15 10:01:56 GMT 2024","Sun Dec 15 10:01:57 GMT 2024","899","Login page tests","","","","","should fail to login",""
"passed","Sun Dec 15 10:02:04 GMT 2024","Sun Dec 15 10:02:05 GMT 2024","1058","Login page tests is isolation","","","","","should login successfully",""
"passed","Sun Dec 15 10:01:51 GMT 2024","Sun Dec 15 10:01:52 GMT 2024","347","Home page tests","","","","","should logout",""
"passed","Sun Dec 15 10:01:47 GMT 2024","Sun Dec 15 10:01:49 GMT 2024","2161","Edit page tests","","","","","should successfully edit",""
"passed","Sun Dec 15 10:02:05 GMT 2024","Sun Dec 15 10:02:05 GMT 2024","154","Login page tests is isolation","","","","","should open register page",""
