"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 15 10:05:15 GMT 2024","Sun Dec 15 10:05:17 GMT 2024","1699","Login page tests","","","","","should login successfully",""
"passed","Sun Dec 15 10:05:17 GMT 2024","Sun Dec 15 10:05:18 GMT 2024","927","Login page tests","","","","","should fail to login",""
"passed","Sun Dec 15 10:05:11 GMT 2024","Sun Dec 15 10:05:12 GMT 2024","767","Home page tests","","","","","should display at least one user",""
"passed","Sun Dec 15 10:05:26 GMT 2024","Sun Dec 15 10:05:26 GMT 2024","610","Login page tests is isolation","","","","","should fail to login",""
"passed","Sun Dec 15 10:05:07 GMT 2024","Sun Dec 15 10:05:10 GMT 2024","2260","Edit page tests","","","","","should successfully edit",""
"passed","Sun Dec 15 10:05:12 GMT 2024","Sun Dec 15 10:05:13 GMT 2024","250","Home page tests","","","","","should open add more page",""
"passed","Sun Dec 15 10:05:26 GMT 2024","Sun Dec 15 10:05:27 GMT 2024","155","Login page tests is isolation","","","","","should open register page",""
"passed","Sun Dec 15 10:05:12 GMT 2024","Sun Dec 15 10:05:12 GMT 2024","327","Home page tests","","","","","should logout",""
"passed","Sun Dec 15 10:05:05 GMT 2024","Sun Dec 15 10:05:07 GMT 2024","2034","Edit page tests","","","","","should correctly autocomplete users data",""
"passed","Sun Dec 15 10:05:20 GMT 2024","Sun Dec 15 10:05:22 GMT 2024","2412","Register page tests","","","","","should register successfully",""
"passed","Sun Dec 15 10:05:25 GMT 2024","Sun Dec 15 10:05:26 GMT 2024","1255","Login page tests is isolation","","","","","should login successfully",""
