"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 15 11:03:14 GMT 2024","Sun Dec 15 11:03:15 GMT 2024","923","Login page tests","","","","","should fail to login",""
"passed","Sun Dec 15 11:03:17 GMT 2024","Sun Dec 15 11:03:19 GMT 2024","2254","Register page tests","","","","","should register successfully",""
"passed","Sun Dec 15 11:03:09 GMT 2024","Sun Dec 15 11:03:09 GMT 2024","816","Home page tests","","","","","should display at least one user",""
"passed","Sun Dec 15 11:03:23 GMT 2024","Sun Dec 15 11:03:24 GMT 2024","152","Login page tests is isolation","","","","","should open register page",""
"passed","Sun Dec 15 11:02:58 GMT 2024","Sun Dec 15 11:03:05 GMT 2024","6472","Edit page tests","","","","","should correctly autocomplete users data",""
"passed","Sun Dec 15 11:03:23 GMT 2024","Sun Dec 15 11:03:23 GMT 2024","603","Login page tests is isolation","","","","","should fail to login",""
"passed","Sun Dec 15 11:03:09 GMT 2024","Sun Dec 15 11:03:10 GMT 2024","341","Home page tests","","","","","should logout",""
"passed","Sun Dec 15 11:03:12 GMT 2024","Sun Dec 15 11:03:14 GMT 2024","1652","Login page tests","","","","","should login successfully",""
"passed","Sun Dec 15 11:03:10 GMT 2024","Sun Dec 15 11:03:10 GMT 2024","243","Home page tests","","","","","should open add more page",""
"passed","Sun Dec 15 11:03:22 GMT 2024","Sun Dec 15 11:03:23 GMT 2024","1055","Login page tests is isolation","","","","","should login successfully",""
"passed","Sun Dec 15 11:03:05 GMT 2024","Sun Dec 15 11:03:07 GMT 2024","2302","Edit page tests","","","","","should successfully edit",""
